Id;FrequencyOfIssuanceOfStatements;HasCreditCard;NumberOfInhabitantsInDistrict;NumberOfCitiesInDistrict;AverageSalaryInDistrict;NumberOfPermanentOrders;DebitedAmount;NumberOfCreditTransactions;NumberOfWithdrawalTransactions;ActualAccountBalance;LoanAmount;LoanDuration;LoanMonthlyPayments;Creditworthiness
7233;monthly;False;93931;8;8427;1;3216,7;114;155;79062,2;115812;36;3217;True
7308;monthly;False;106054;6;8110;5;10687;81;263;38530,6;129408;24;5392;True
5895;monthly;False;77917;5;8390;3;10619;78;205;60686,3;93960;60;1566;True
7122;monthly;False;58400;6;8620;5;20064;103;231;55275,4;260640;36;7240;False
6173;after transaction;False;177686;9;10045;5;9599;92;307;62314,9;232560;48;4845;True
6142;monthly;False;81344;6;8899;5;7239,8;68;219;63946,8;221880;60;3698;True
5358;monthly;False;95907;7;8388;2;6325;111;133;18120,5;38520;12;3210;True
6095;monthly;False;149893;6;9753;2;10330;88;179;68246,3;68340;60;1139;True
6878;monthly;False;161954;8;8720;1;1932;111;107;44305,7;23184;12;1932;True
6554;monthly;True;112709;10;8369;2;17524;62;109;80446,6;390096;48;8127;True
6793;weekly;True;86513;5;8288;3;11147,7;148;188;61173,8;186300;60;3105;True
7286;monthly;False;95616;6;9307;4;10558,3;95;206;19682,5;67320;36;1870;True
6076;monthly;False;75685;9;8208;3;10010;63;150;59614,3;117420;60;1957;True
5134;monthly;True;51428;4;8402;2;13658;82;136;41748,4;53076;12;4423;True
5419;monthly;False;1204953;1;12541;1;6930;81;97;74849,4;415800;60;6930;True
6255;monthly;False;106054;6;8110;1;5165,2;53;57;61289,1;247920;48;5165;False
5656;monthly;False;323870;1;10673;4;17174,2;73;153;40639,3;146064;24;6086;True
6934;monthly;False;103347;7;9104;2;14482;90;110;37695,5;116832;12;9736;True
6028;monthly;False;77963;4;8546;5;14894;68;231;54847,7;317520;60;5292;True
6490;monthly;False;285387;7;10177;3;9996;61;129;40855,3;73260;60;1221;True
6415;monthly;True;159617;9;9198;2;18471;62;99;59094,5;475680;48;9910;True
7087;monthly;False;85852;4;8965;3;6120;67;167;82176,2;44304;24;1846;True
5420;monthly;False;122603;8;8991;5;6667;72;224;28437,9;72504;24;3021;True
5977;monthly;False;170449;1;10787;1;1232;79;96;35752,1;59136;48;1232;True
6824;after transaction;False;161854;6;9425;1;2999,3;136;164;27755;71976;24;2999;False
5207;monthly;False;228848;6;9893;5;4233;74;180;18842,1;35904;48;748;True
7115;monthly;False;87419;9;8624;2;6258;105;155;14960,2;88704;48;1848;True
7250;monthly;False;114006;9;9065;1;2482;95;150;117210,5;119136;48;2482;True
6010;weekly;False;110643;4;8441;3;11421,8;76;130;101522,2;150180;60;2503;True
6088;monthly;False;72541;8;8594;2;6835,8;55;97;19937,4;90180;36;2505;True
5682;monthly;False;125236;5;9675;1;5622,5;68;115;100118;67464;12;5622;True
7201;monthly;False;125236;5;9675;1;5622,5;68;115;98820;67464;12;5622;True
6938;monthly;True;81344;6;8899;1;5688;71;118;17756,8;341280;60;5688;True
6875;monthly;True;114006;9;9065;1;1735;129;157;75087,8;83280;48;1735;True
5953;monthly;True;112065;8;11277;1;4049;53;87;33537,8;97176;24;4049;True
5942;monthly;False;285387;7;10177;3;12919;88;200;54270,4;162624;48;3388;True
5382;monthly;False;139012;10;8363;3;4396;60;144;57788,4;22932;36;637;True
6377;monthly;False;1204953;1;12541;4;5424;71;185;40887,1;17184;12;1432;True
5931;monthly;False;75232;5;8980;1;2778,7;53;95;-5809,2;66696;24;2779;False
5992;monthly;True;95616;6;9307;3;15676,3;69;174;60869,3;76080;12;6340;True
5790;monthly;False;161954;8;8720;3;6058;54;113;38272,8;84288;48;1756;True
6753;monthly;False;125832;5;8512;1;5665;76;86;56432,8;67980;12;5665;True
6562;monthly;False;1204953;1;12541;3;12797,3;88;157;25288,3;94488;24;3937;True
7046;monthly;False;74062;7;8114;3;10526;98;132;14448,9;91632;12;7636;True
5868;monthly;True;42821;3;8173;1;7512,7;74;114;102769,2;90156;12;7513;True
5784;monthly;False;387570;1;9897;1;2349,5;83;98;85375,5;84600;36;2350;False
5878;monthly;False;182027;7;8746;5;14653;91;306;46492,6;74040;12;6170;True
5110;monthly;True;109164;4;8757;2;8062;106;157;66956,4;102240;60;1704;True
5210;weekly;False;53921;2;8598;1;4114,7;87;137;62610,7;148140;36;4115;True
7230;monthly;True;88757;10;8554;1;312;60;106;43156;18720;60;312;True
5005;weekly;False;161227;10;8678;4;6985,3;82;183;71821,5;27456;12;2288;True
6871;monthly;False;75637;7;9622;1;3421,5;128;122;88862,1;164256;48;3422;True
5363;weekly;True;197099;10;9624;1;4898,2;95;117;92531,9;293880;60;4898;False
7253;monthly;True;93931;8;8427;1;8191,5;85;147;101756,8;98304;12;8192;True
6055;monthly;False;138032;5;8819;1;6652,5;69;79;24099;399120;60;6652;True
5072;monthly;False;112065;8;11277;1;8200,2;54;100;30746,9;196800;24;8200;False
6913;monthly;True;1204953;1;12541;3;10905;139;200;43207,3;99936;24;4164;True
6386;monthly;False;161854;6;9425;4;13770;92;221;29354,1;124344;36;3454;True
5634;monthly;True;197099;10;9624;3;16491,2;90;180;14288,4;39024;12;3252;True
5758;monthly;False;107911;7;8240;1;5120,2;69;92;20411,1;307200;60;5120;False
6819;monthly;False;162580;6;9538;4;7106;71;117;18016,7;50112;24;2088;True
7088;monthly;False;67298;7;8561;5;9740,7;70;213;27021,1;239160;60;3986;True
5039;after transaction;False;58796;5;9045;2;16476;74;140;25365;66840;24;2785;True
5532;weekly;False;161954;8;8720;3;10093,3;71;161;75483,2;335280;48;6985;True
6037;monthly;False;226122;4;8994;3;4650;91;214;31797,9;53232;48;1109;True
6322;monthly;True;323870;1;10673;1;3207,8;68;78;43706,7;76992;24;3208;True
6887;monthly;False;228848;6;9893;3;13234,3;95;140;32153,6;39576;12;3298;True
6660;monthly;False;106054;6;8110;2;11788;51;101;29600,7;220428;36;6123;True
5451;monthly;True;70699;4;8968;3;9166,2;71;123;75894,7;159744;48;3328;True
6014;monthly;True;1204953;1;12541;3;17943,5;82;163;72645,9;165168;36;4588;True
5556;monthly;False;1204953;1;12541;3;12571;60;113;17036,9;268320;60;4472;True
6346;monthly;True;1204953;1;12541;1;1671;79;98;59578,6;100260;60;1671;True
5850;after transaction;False;197099;10;9624;2;9358;88;113;50935,8;164196;36;4561;True
5940;monthly;False;86513;5;8288;4;7489;50;131;35159,9;106944;24;4456;True
7119;monthly;True;103347;7;9104;1;7240;61;89;13413,9;86880;12;7240;True
5253;monthly;False;114200;4;8403;2;10294,7;52;71;19511,9;100080;48;2085;True
6851;monthly;False;170449;1;10787;3;16722,3;94;118;24791,4;272220;60;4537;False
6695;monthly;False;121947;11;8541;2;14266,2;70;87;36612;309660;60;5161;True
6908;monthly;False;108871;6;8444;2;18099;117;105;31661,4;188616;24;7859;True
7255;monthly;False;72541;8;8594;2;10216;52;97;64992,2;213300;60;3555;True
5674;after transaction;False;95907;7;8388;1;4318;72;97;27523,5;207264;48;4318;True
6278;monthly;True;95616;6;9307;2;10913,5;71;112;34409;87360;24;3640;True
5486;monthly;False;77963;4;8546;1;9721;84;128;47060,7;466608;48;9721;True
5174;monthly;False;387570;1;9897;2;18283,8;71;151;39716,4;385104;48;8023;True
6621;monthly;True;121947;11;8541;3;15794;119;215;68381,8;42900;12;3575;True
6313;monthly;True;102609;6;8187;1;4192,5;81;98;25535;150912;36;4192;True
6435;monthly;True;121947;11;8541;1;6015,3;49;82;47276,3;288720;48;6015;True
6970;monthly;False;112065;8;11277;2;9471;57;104;37363,1;31620;60;527;True
6310;monthly;False;1204953;1;12541;1;2881;59;76;19887,3;34572;12;2881;True
5932;monthly;False;81344;6;8899;1;2778,7;72;89;59645,3;33348;12;2779;True
6877;monthly;False;323870;1;10673;2;8348,7;82;108;27106,9;285240;60;4754;True
6763;monthly;False;1204953;1;12541;2;9196,3;96;96;16530,5;88272;48;1839;True
7085;monthly;False;285387;7;10177;3;12524,3;71;136;33737,6;305424;48;6363;True
7049;weekly;False;149893;6;9753;5;18246,7;56;164;50284,1;233424;36;6484;True
6959;monthly;False;285387;7;10177;1;2476,8;125;128;6892,4;59448;24;2477;False
5214;after transaction;False;157042;9;8743;2;6239,3;66;118;27961,3;74772;36;2077;True
6350;monthly;False;387570;1;9897;1;6133;115;133;25588,1;294384;48;6133;True
5063;monthly;False;387570;1;9897;3;15129;35;45;54377;357840;48;7455;False
5041;weekly;False;162580;6;9538;4;9818,5;112;248;78773,2;369000;60;6150;True
5086;monthly;False;285387;7;10177;2;10836,7;77;105;98722,9;210384;48;4383;True
6942;monthly;False;108871;6;8444;2;9846;65;131;40110,6;18324;12;1527;True
5270;monthly;False;102609;6;8187;1;3981;68;125;63328,9;191088;48;3981;True
6705;monthly;False;177686;9;10045;3;15729,8;107;149;11000,4;333648;48;6951;False
7051;monthly;False;1204953;1;12541;1;6483,7;57;79;23327,2;77808;12;6484;True
6758;monthly;False;285387;7;10177;4;9154;74;129;22009;33144;12;2762;True
6249;monthly;False;387570;1;9897;2;13686,3;48;66;38275,7;67608;24;2817;True
5808;monthly;True;387570;1;9897;4;4499;63;192;51533,6;41856;48;872;True
5377;monthly;True;285387;7;10177;3;12413,8;77;140;29807,9;92400;12;7700;True
5446;monthly;False;102609;6;8187;2;12720;93;114;45832,9;48312;24;2013;True
5856;monthly;False;117897;6;8814;1;4280;84;108;40027,4;51360;12;4280;False
4986;monthly;True;323870;1;10673;5;12438;67;207;52583,8;102876;12;8573;True
7001;monthly;True;67298;7;8561;4;8259,5;61;176;49075,4;300600;60;5010;True
6677;monthly;False;45714;6;8843;3;7356;81;178;30328,7;97980;60;1633;True
6665;monthly;False;108871;6;8444;3;8107;78;185;47755,1;99300;60;1655;True
5817;monthly;False;102609;6;8187;4;15595,2;37;102;384,4;100800;24;4200;False
6984;monthly;False;387570;1;9897;3;6956;50;107;39012,1;116040;60;1934;True
6541;monthly;False;108871;6;8444;3;10074,8;68;155;23779;153504;48;3198;True
5117;monthly;True;1204953;1;12541;4;20301;90;178;43652,8;76944;12;6412;True
6097;weekly;False;127369;7;8369;3;18601,3;62;124;27713,2;202848;48;4226;True
5389;monthly;False;121947;11;8541;2;15767,8;52;68;38703,1;78600;24;3275;True
7219;monthly;True;105058;10;9272;3;5811;59;118;64537,5;57120;48;1190;True
6338;monthly;True;1204953;1;12541;2;17265,7;87;129;87956,2;390660;60;6511;True
6922;monthly;False;387570;1;9897;1;2322,7;50;70;40314,3;83628;36;2323;True
5367;monthly;False;387570;1;9897;1;2322,7;50;70;40943,8;83628;36;2323;True
5638;monthly;False;323870;1;10673;2;13874;55;107;57644,6;68124;12;5677;True
5830;monthly;False;145688;5;8544;4;12006;106;210;22073,7;405780;60;6763;True
5338;monthly;False;77963;4;8546;4;12032;82;160;-3387,6;57360;12;4780;False
6007;monthly;True;133777;11;8705;1;6039,8;55;92;64557,3;289920;48;6040;True
6612;monthly;False;285387;7;10177;2;14443,2;79;119;58825,6;97392;12;8116;True
5718;monthly;False;107911;7;8240;3;6265;80;200;74335,9;14028;12;1169;True
6104;monthly;False;162580;6;9538;1;4393,8;76;108;37970,1;158184;36;4394;True
5229;monthly;False;107911;7;8240;3;10409,2;59;115;26078,7;23520;12;1960;True
6625;monthly;False;387570;1;9897;1;7887,7;81;71;27502,5;473280;60;7888;False
5206;after transaction;False;323870;1;10673;5;14399,7;69;155;32271,1;128544;24;5356;True
5963;monthly;True;387570;1;9897;1;3413;63;81;60710,8;204780;60;3413;True
4990;monthly;True;159617;9;9198;3;7664;61;148;73880,9;162576;36;4516;True
6641;monthly;True;159617;9;9198;1;3563;44;64;72510,9;128268;36;3563;True
5369;monthly;True;323870;1;10673;2;19589;41;80;86688,2;214596;36;5961;True
6196;monthly;False;95616;6;9307;1;4939;71;92;32882;177804;36;4939;True
5236;monthly;False;107911;7;8240;1;8107,3;56;92;37248;389136;48;8107;True
5719;monthly;True;1204953;1;12541;1;5658;80;103;73355,4;271584;48;5658;True
5643;monthly;False;323870;1;10673;1;7876;110;138;-6138,6;94512;12;7876;False
7050;monthly;True;127369;7;8369;1;6483,7;112;124;93433,2;311232;48;6484;True
6355;monthly;False;88768;7;8867;3;15457,2;87;129;37531,4;127200;48;2650;True
6688;monthly;False;108871;6;8444;3;8228;93;117;72861,5;8616;24;359;True
6239;weekly;False;77963;4;8546;1;7518;94;111;5057,2;360864;48;7518;False
5531;monthly;False;170449;1;10787;2;9637;70;138;32257,4;66432;24;2768;True
6113;monthly;False;226122;4;8994;5;5793;52;137;22118,2;78696;36;2186;True
7181;monthly;True;1204953;1;12541;2;14911,8;39;75;51971,2;197808;24;8242;True
6118;monthly;True;161954;8;8720;2;13621,3;111;165;95112,6;349392;48;7279;True
7264;weekly;True;1204953;1;12541;1;3744,7;67;73;92960;44940;12;3745;True
5343;monthly;False;1204953;1;12541;3;9385,8;69;137;38787,1;44952;24;1873;True
